,country,description,points,price,variety,winery,Colour,Color,RW
0,France,"Structured and very rich, this has sweet tannins that provide weight while retaining the wine's ripe, fruity character. It has a solid, firm texture, and the wood influence gives a burst of firm toast. Age for 4–5 years.",90,16.0,Bordeaux-style Red Blend,Château Lauduc,Red,1.0,0.0
1,Argentina,"Fairly ripe, full and attractive, with dark plum aromas. The palate has bounce, jump and a bit of acidic sharpness, while the plum and berry flavors are generic but good. Sweet on the finish; standard and healthy stuff.",85,9.0,Malbec,Acordeón,Red,1.0,0.0
2,Uruguay,"Deep and baked on the nose, with soft, fleshy blackberry and plum flavors. On the palate the wine's tannins are tame and the fruit seems exceedingly rich.  So drink now to get its last gasp of gusto; soon it will probably turn heavier that it is now.",84,17.0,Tannat,Castillo Viejo,Red,1.0,0.0
3,Italy,"As its name suggests, Ser Gioveto is a wine that celebrates Sangiovese winemaking tradition in Tuscany. The wine is fresh, soft and smooth. It's also packed tight with delicious berry flavors.",90,52.0,Sangiovese,Rocca delle Macìe,Red,1.0,0.0
4,Greece,"An unusual blend of 60% Tannat and 40% Montepulciano, the first from Greece (or anywhere), this has a beautiful nose of cured meat, fresh crushed berries, and vibrant vanilla. Tannat's heavy tannins are present, as is plentiful acidity. Dark purple fruit and vanilla flavors are pure and modern, but this wine would be better if it wasn't so tart.",86,65.0,Red Blend,Alpha Estate,Red,1.0,0.0
5,Chile,"This opens with classically Chilean aromas of bell pepper, olive and berry. It feels firm and tightly wound, with plum and herb flavors. Despite its herbal quality and its peppery, briary finish, the wine nevertheless manages not to taste green.",88,15.0,Cabernet Franc,Lomas del Valle,Red,1.0,0.0
6,US,"The burn of alcohol and natural black pepper spice give this wine a sting. Based on Grenache and Sangiovese, with some Zinfandel, it's rich in black and red currant and cola flavors.",86,26.0,Red Blend,Blanchard Family,Red,1.0,0.0
7,Austria,"Slight pepper spice mingles with subdued, tart berry fruit on the nose of this wine. The palate adds supple vanilla and strawberry notes, with fine, smooth tannins and pervasive freshness. For now, the vanilla still dominates, but a little bottle age will help. Drink 2018–2022.",92,14.0,Pinot Noir,Markowitsch,Red,1.0,0.0
8,Chile,"A pure and proper Cabernet with aromas of balsam wood, toast, berry and cassis. There's some power and kick on the palate, but the overall feel is good. So are the flavors of cassis, raspberry and plum. Spicy on the finish, with a bit of piquant heat.",88,12.0,Cabernet Sauvignon,Odfjell,Red,1.0,0.0
9,Italy,"With burnt popcorn as the lead scent and an herbal streak that can't be denied, Kendall-Jackson's attempt at Tuscan Cabernet Franc (with 18% Cabernet Sauvignon and Sangiove) requires too much sacrifice. The flavors are of rhubarb and raspberry, with spice and tomato sauce along for the ride. Has size and potency, but not much charm.",83,96.0,Cabernet Blend,Tenuta di Arceno,Red,1.0,0.0
10,Australia,"Complex, albeit within a limited and rather dark spectrum that runs from cola and earth through to black olive and espresso. Full bodied, but seems to lack just a bit of midpalate texture, finishing crisp. Drink now–2018.",89,29.0,Shiraz,Koonowla,Red,1.0,0.0
11,US,"In the blend of this intensely fragrant young wine is 14% Cabernet Sauvignon and 10% Petit Verdot. I like the complexity, the way the primary fruits mix in unusual notes of pineapple along with the black cherry. It's resonant and tangy, with good, long flavors and lots of new oak. This was a year of winemaker transition, and may be the last of the real chocolaty wines from Northstar. Give this plenty of airing, or cellar it for another 3–4 years.",92,41.0,Merlot,Northstar,Red,1.0,0.0
12,US,"Here's another of Fess Parker's 2007 Pinots that wants time in the cellar. It's very young now, with a shroud of tannins masking Burgundian flavors of mushrooms, pine, cherries, blackberries, sandalwood, minerals and an enormous array of Asian spices. Best 2011–2015.",93,55.0,Pinot Noir,Fess Parker,Red,1.0,0.0
13,Greece,"This is a classic example of a good Greek red: fruit-forward cherry aromas with a touch of cedar and spice lead into an alluring combination of cinnamon spice and berry on the palate. Fresh but balanced, the wine will pair well with beef and game. Its tannic structure and length also offer ageability.",88,25.0,Red Blend,Palivou,Red,1.0,0.0
14,US,"A simple, straightforward Cab. It shows herb and green pepper amid clove and currant and it's low enough in alcohol not to mess you up. A perfectly fine everyday wine.",86,14.0,Cabernet Sauvignon,Heron,Red,1.0,0.0
15,Italy,"Enticing blue flower, rose, new leather and graphite scents lead the nose. The vibrant if rather slender palate offers tart cherry, chopped herb and a saline note, framed by firm, fine-grained tannins.",89,26.0,Sangiovese,Folonari,Red,1.0,0.0
